idx,sentence,essay_id,essay_type,CU0,CU1,CU2,CU3,CU4,CU5
335.0,After that there would be a hill that leads into a second loop that is 2.60m tall and wide.,P5_04_20_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
684.0,The reason our coaster will be awesome is the initial drop is pretty high at the height of 3.75 meters.,P6_06_18_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
838.0,If they hills PE is smaller that the hills KE the cart will make it up the hill.,P1_07_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
492.0,When the rollercoaster starts up higher it will have more PE at the top and more total energy all together.,P5_03_22_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
173.0,E1: For our teams roller coaster design we will design it to be exciting but also make it to the end of the ride without stopping.,P1_05_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
505.0,"When you add your PE and KE together, it will always stay the same.",P5_03_22_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
245.0,"If a hill on the coaster is too tall, the car will not make it over.",P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
325.0,The PE at the top of the drop affects the amount of KE you will have at the bottom of the drop.,P5_04_20_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
802.0,"At the bottom of the hill, there will 938 Joules of kinetic energy and 0 Joules of potential energy.",P1_07_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
532.0,E1R: The drop height of my roller coaster will be 5m tall.,P1_07_11_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
540.0,When the hill was 4m tall the PE at the top was 1958 joules.,P1_07_11_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
682.0,"E1R: Dear the Gonzales family,",P6_04_11_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
302.0,I'm mailing you my essay about how my roller coaster would be the most popular attraction and how it would run flawlessly without any problems with it's design.,P5_07_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
491.0,One more thing I have been watching is how the energy is able to change from PE to KE.,P5_03_22_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
419.0,E1R: Dear Gondolas Family Some co-workers and I plan on trying to help you make a roller coaster ride for your park we found some things to help that I will tell you in the next few paragraphs.,P6_04_22_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
618.0,E1R: As we start our roller coaster to the height of 5 meters.,P1_01_14_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
220.0,I hope you will consider my advice.,P5_04_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
478.0,I tested this by making the initial drop height 5m tall and the hill height also being 5m tall.,P5_03_22_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
84.0,"When I did a car mass of 60kg, the car had a total energy of 2936J of energy and went much faster.",P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
84.0,"When I did a car mass of 60kg, the car had a total energy of 2936J of energy and went much faster.",P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
320.0,E1: I think that my design would be the most enjoyable ride for your park.,P5_04_20_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,This is because the more height the car has the more potential energy.,P1_06_26_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,Kinetic energy and Potential energy add up to the total amount of energy.,P1_06_26_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,The conservation of energy law states that energy cannot be created or distroyed.,P1_06_26_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,"At the top of drop the potential energy has the total amount of energy, but as the car goes down the drop it tranfers into kinetic energy.",P1_06_26_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,When the car starts 3 meters tall the potenial energy is 1466 joules.,P1_06_26_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,Also the more mass the car has the more energy because potential energy is height x mass x gravity.,P1_06_26_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
