idx,sentence,essay_id,essay_type,CU0,CU1,CU2,CU3,CU4,CU5
620.0,"It involves science, technology, and physics and it will be able to make it to the end with pure thrill in the costumer's eyes.",P6_04_02_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
374.0,Now lets say that it weighs 60 kg then the amount of PE will be larger at 2937 J.,P5_04_02_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
489.0,Then when it makes it way down it changes into kinetic energy to continue on with the ride.,P5_06_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
156.0,I would also recommend a car with a big mass.,P6_03_12_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
156.0,I would also recommend a car with a big mass.,P6_03_12_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
588.0,So of you apply all of this to your roller coasters it will surely be fun and safe for everyone.,P6_07_14_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
314.0,At the top the KE is low and at the bottom the KE is high because the PE has turned into KE.,P1_07_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
38.0,"All of these trials were conducted without friction, but I know that there would be friction in the real world.",P1_05_15_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
38.0,"All of these trials were conducted without friction, but I know that there would be friction in the real world.",P1_05_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
285.0,This is because PE is stored in an object.,P1_05_12_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
704.0,"Because total energy is just all the different types of energy added up, the total energy stayed the same this entire time.",P1_05_11_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
438.0,"If the Gonzales family added the 3.00 m hill, the ride would be more fun, but still make it to the end of the ride.",P6_03_18_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
468.0,"During these simulations, with the law of conservation of energy..",P5_06_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
86.0,"For example, in my data on Adding hills, when I set the hill height to 5.0 m and the initial drop to 5.0 m. The cart was not able to make it over the hill because there wasn't enough total energy, PE, and KE.",P5_04_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
86.0,"For example, in my data on Adding hills, when I set the hill height to 5.0 m and the initial drop to 5.0 m. The cart was not able to make it over the hill because there wasn't enough total energy, PE, and KE.",P5_04_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
773.0,"The reason we picked 4 metres for our initial drop height is that a hill height of 4 metres or more is pretty dang tall, and we feel like it couldn't be very safe for a high hill height.",P1_06_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
277.0,"E1R: We started at a release height of 2 meters then we tested the height at 3,4 and then 5 meters.",P1_01_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
511.0,But when i tested the height of 3 the total energy was 1466.,P1_01_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
731.0,This was because the friction changed into an external source of energy that can no longer be used.,P1_05_24_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
324.0,"When I increased the drop height to 4 meters, the PE increased at 2166 Joules.",P1_07_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
519.0,The mass of the car is also very important.,P1_01_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
69.0,"For example, in my data on Adding hills, when I set the hill height to 5.0 m and the initial drop to 5.0 m. The cart was not able to make it over the hill because there wasn't enough total energy, PE, and KE.",P5_04_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
69.0,"For example, in my data on Adding hills, when I set the hill height to 5.0 m and the initial drop to 5.0 m. The cart was not able to make it over the hill because there wasn't enough total energy, PE, and KE.",P5_04_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
789.0,"If our cart is 40 kilograms, it would glide through the track but not really gather a lot of potential energy due to its lightweight.",P1_06_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,E1: Our initial drop would have to be bigger than our hill height so the coaster could make it to the end.,P1_02_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,Our initial drop would have to be significantly higher than our hill height so the coaster has enough energy to make it to the end.,P1_02_10_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,"in the Law Conservation of Energy it states: energy cannot be created nor destroyed, so If the hill height is any taller than the initial drop, unfortunately there won't be enough momentum to get it to the end.",P1_02_10_22-23,E1R,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,With the car mass of 51 (our largest trial) there was more PE at the initial drop meaning the cart could have enough momentum to get to the bottom.,P1_02_10_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,"At the top of the drop, the potential energy is equal to the total energy because the kinetic energy is at 0 J.",P1_05_15_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,"As the car travels down the drop, it gains more kinetic energy because it is picking up speed and loses potential energy because it doesn't have as much height.",P1_05_15_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"This is not because energy is being created or destroyed- in fact, the Law of Conservation of Energy says this is impossible.",P1_05_15_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,I think the best hill height would be 3 meters.,P1_05_15_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,"If the height of the hill is equal to or greater than the height of the initial drop, the car will not continue to the end of the ride.",P1_05_15_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,"At the top of the drop, the potential energy is equal to the total energy because the kinetic energy is at 0 J.",P1_05_15_22-23,E1R,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,"As the car travels down the drop, it gains more kinetic energy because it is picking up speed and loses potential energy because it doesn't have as much height.",P1_05_15_22-23,E1R,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"This is not because energy is being created or destroyed- in fact, the Law of Conservation of Energy says this is impossible.",P1_05_15_22-23,E1R,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,The energies are transferring among themselves as the car moves through the ride.,P1_05_15_22-23,E1R,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,"If the height of the hill is equal to or greater than the height of the initial drop, the car will not continue to the end of the ride.",P1_05_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,E1: The Gonzales family should make sure to have the initial drop of this fun and safe roller coaster higher than the hills and loops.,P5_04_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,And the Law of Conservation of Energy says that energy cannot be created or destroyed.,P5_04_01_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,E1R: The Gonzales family should make sure to have the initial drop of this fun and safe roller coaster higher than the hills and loops.,P5_04_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,"The relationship between KE and PE is that when you add both together, you get the amount of total energy.",P5_04_01_22-23,E1R,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,The Law of Conservation of Energy says that energy cannot be created or destroyed.,P5_04_01_22-23,E1R,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,And this is shown in my data in Adding Hills data when the amount of TE didn't change.,P5_04_01_22-23,E1R,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,"This proves that the Gonzales family needs to make sure that their initial drop is higher than the hills, so then there is enough total energy to go over the hill.",P5_04_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,"The higher the drop height, the more total energy there will be, which means there is room for a lot of potential energy, (PE), and kinetic energy, (KE).",P6_03_01_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"At the top of the initial drop height, there will be an x amount of PE, But as the cart moves down the drop it will be converted to KE.",P6_03_01_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"And the energy will always stay the same do to the law of conservation of energy, which says that energy can not be created nor destroyed, but can be converted to different types.",P6_03_01_22-23,E1,unacceptable,unacceptable,acceptable,acceptable,unacceptable,unacceptable
,This shows that the hill can not be the same height or more higher then the initial drop.,P6_03_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,"The more mass, the more total energy there is.",P6_03_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
