idx,sentence,essay_id,essay_type,CU0,CU1,CU2,CU3,CU4,CU5
486.0,In my simulator when I tested the 5.00 drop and the 5.00 hill the cart didn't make it over.,P5_04_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
599.0,"For example, when I tested the drop height of 2 meters, the PE was 1173 at the top of the drop.",P1_07_02_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
403.0,E1R: I recommend that the Gonzales family could make the roller coaster last longer to make people think that they are getting their money's worth.,P6_06_04_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
588.0,"My second recommendation is a kart mass of 51kg, mass and energy have direct relationship.",P1_02_03_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
648.0,This height would give the fastest speeds possible while being safe.,P6_04_08_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
62.0,The reason for this is that we think it will be most exciting for the riders because it was the highest option and also because you will gain the most speed from dropping from that height than you would on anything lower.,P1_01_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
62.0,The reason for this is that we think it will be most exciting for the riders because it was the highest option and also because you will gain the most speed from dropping from that height than you would on anything lower.,P1_01_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
453.0,But when my hill was at 4m with my initial drop being 5m the cart made it to the end.,P5_03_11_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
527.0,"E1: During my proposal to the Gonzales family, I will be sharing my findings about:",P5_07_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
267.0,"E1R: I would recommend to make the initial drop 5 m because then the PE will be higher, meaning more PE at the beginning the same KE at the end.",P1_02_05_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
341.0,"E1: Dear Gonzalez family,",P6_06_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
458.0,When thinking of energy the only way for the cart to make it to the end is to have a high and fast initial drop.,P5_04_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
331.0,And the more PE there is at the top the more KE there is at the bottom of the drop.,P6_03_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
344.0,My proposal is to make a roller coaster with the highest initial drop height possible.,P6_06_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
54.0,"So, for example, energy throughout a roller coaster is not getting destroyed it's either switching or the friction is turning into mechanical energy which turns into other forms of energy like heat+ thermal energy, and sound energy.",P1_01_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
