idx,sentence,essay_id,essay_type,CU0,CU1,CU2,CU3,CU4,CU5
340.0,"According to my data when the initial drop was 3m the amount of potential energy there was, was 1466J compared to the 5m initial drop height which was 2932 J of potential energy.",P6_03_05_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
264.0,These are the current suggestions I have provided for the roller coaster that is desired.,P1_06_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
239.0,"Now for my first example, the initial drop is going to be at 5.0 kg, with the cart being 50 kg, the PE at 2443 J and the KE at 0 J.",P6_07_22_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
239.0,"Now for my first example, the initial drop is going to be at 5.0 kg, with the cart being 50 kg, the PE at 2443 J and the KE at 0 J.",P6_07_22_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
773.0,"We found that this happens since there isn't enough KE to make it over the hill since the energy has to be split in between KE and PE, we had to make it 4 m. The Law of Conservation of Energy says that Energy can't be created or destroyed only changed, and that is also the reason we can't make the hill height and the initial drop the same.",P1_05_13_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
773.0,"We found that this happens since there isn't enough KE to make it over the hill since the energy has to be split in between KE and PE, we had to make it 4 m. The Law of Conservation of Energy says that Energy can't be created or destroyed only changed, and that is also the reason we can't make the hill height and the initial drop the same.",P1_05_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
28.0,in the simulation i used had no friction so there was no heat or sound energy.,P1_06_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
28.0,in the simulation i used had no friction so there was no heat or sound energy.,P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
788.0,When we tested 5.01 meters the cart was not able to go over.,P1_05_18_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
466.0,This helped us decide where we should start our roller coaster and where to put the hills.,P6_04_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
9.0,that's why when the cart got to the bottom the ke was 977 joules for the first trial and 2442 joules for the second.,P1_06_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
9.0,that's why when the cart got to the bottom the ke was 977 joules for the first trial and 2442 joules for the second.,P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
775.0,"Then in a different test where the mass was 50 kg and the mass was 2,446 J.",P1_05_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
393.0,"In the last experiment I ran, the hill was the same height as the initial drop (5 m) but it was the only one whose coaster car didn't make it over the hill.",P5_06_22_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
568.0,This is important for the car to be able to make it to the top of the hill.,P6_06_20_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
412.0,then the ride would go through a 360-turn bringing back all the potential energy to then go into a 35ft hill.,P6_04_14_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
39.0,by making it so its 50kg you get the benefit of more energy but don't have to worry as much on the friction.,P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
738.0,This is because with the initial drop at 5 meters if we make the hill too high the cart won't make it up the hill.,P1_05_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
738.0,This is because with the initial drop at 5 meters if we make the hill too high the cart won't make it up the hill.,P1_05_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
181.0,On the hill there will be very little PE but a lot of KE.,P5_07_22_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
181.0,On the hill there will be very little PE but a lot of KE.,P5_07_22_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
413.0,The ride would not be able to go up because of the number of tests we have done before this ride and have total energy needed to make the hill.,P6_04_14_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
414.0,Then the ride would move backward through the track bringing back all the total energy that was used to try to make it up the hill.,P6_04_14_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
142.0,The height of the initial drop was 5.,P5_04_15_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
142.0,The height of the initial drop was 5.,P5_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
645.0,"With an initial drop height of 4.5 meters and a hill height of 4 meters, the coaster was able to make it to the end.",P6_03_11_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
662.0,Potential energy is the stored energy that matter can use to make things happen—when the time comes.,P6_03_11_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,the relationship between height and energy is directer so when one goes up the other goes up to.,P1_06_01_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,on earth that's not possible so that's why you want to make the hill smaller then the drop so that with the friction it can still go over the hill.,P1_06_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,the TE can never change it will always stay the same because of the law of conservation of energy.,P1_06_01_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,"by making the cart 50kg the cart will make it so you can have more energy, then if you have a lower amount of mass this will make it so there is less energy.",P1_06_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,the relationship between height and energy is directer so when one goes up the other goes up to.,P1_06_01_22-23,E1R,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,on earth that's not possible so that's why you want to make the hill smaller then the drop so that with the friction it can still go over the hill.,P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,the TE can never change it will always stay the same because of the law of conservation of energy.,P1_06_01_22-23,E1R,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,"by making the cart 50kg the cart will make it so you can have more energy, then if you have a lower amount of mass this will make it so there is less energy.",P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,Through our data we found that five meters provided a total energy of 2443 J and the lowest at our lowest tested height of 3.75 meters only gave a total energy of 1832 J.,P5_03_01_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,Therefore to provide the most amount of Kinetic Energy we need to start with the highest potential energy so we need to make the initial drop start at a height of 5 meters.,P5_03_01_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"The next step in our process is adding our hills, we discovered that for the car to make it over the hill the initial drop height has to be greater than the hill height.",P5_03_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,"This can be explained through the Law of Conservation of Energy, energy can neither be created or destroyed, it can only be transferred from one type of energy to another.",P5_03_01_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,In this experiment we discovered that our highest mass of 60 kg with the same height of the initial drop it provided a potential energy of 2938.,P5_03_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,"E1R: Dear Gonzales Family, 

The roller coaster my team has designed provides a safe yet thrilling ride.",P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,It has an initial drop of 5 meters.,P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,Hills reaching 4.75 m and thrilling speeds.,P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,We believe that this ride will provide satisfaction to its riders while getting them safely to the end of the ride.,P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,"Here's a look at the data we've collected, our scientific concepts, and our progress so far in our designs.",P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,Before we get into our research here are some concepts you need to understand.,P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,One of them is total energy.,P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,"This is all of the energy that's there, the potential and kinetic energy.",P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,"Think of it like a math equation, PE + KE = Total Energy.",P5_03_01_22-23,E1R,unacceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable
,"Another concept you need to know is the Law of Conservation of Energy, ""Energy can neither be created nor destroyed, only transferred from one type to another"".",P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable
,"So basically at the initial drop you would have all of your energy as potential energy but as it starts going, it becomes potential energy.",P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
