sentence,essay_id,essay_type,CU0,CU1,CU2,CU3,CU4,CU5
E1: Recommendations for the Gonzales family about your best roller coaster design.,P5_03_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The roller coaster will be exciting and make it to the end without stopping.,P5_03_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
For this to happen you need the initial drop to be higher than the hill.,P5_03_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
"First, you need a height that is higher than the hill so lets put it at 5.00m for the initial height and 3.00m for the hill.",P5_03_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
This way the cart will be able to make it over safety and create a exiting experience for the riders.,P5_03_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Using the data I have collected from Initial drop when it was at 5.00m there was a lot more PE and KE resulting in more TE all together making is a better ride for riders to enjoy.,P5_03_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Secondly, using the data I have collected from adding hills simulation when the initial height was at 5.00m and the hill height was at 3.00m there was the most TE making it a faster ride.",P5_03_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
As the data shows PE at the top of initial drop was at 2446J and the PE and the top of the hill was 1474J creating a lot of KE to follow.,P5_03_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
This is called energy transformation this is when one type of energy in this case PE is converted into KE as the cart starts to go downward.,P5_03_07_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Lastly, you want to have a heavier cart mass.",P5_03_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Because when you have a heavier cart mass the amount of TE will go up.,P5_03_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
As it shows in my data from mass & energy when the mass of the cart was at 60kg rather than 40kg.,P5_03_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
So when it was at 60kg the total energy was 2932J and when at 40kg the total energy was at 1954J.,P5_03_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
This shows to have a exiting ride you want to a heavier cart mass to have a faster and more entertainment for the riders.,P5_03_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
