idx,sentence
132,When we dropped the roller costar cart from 2 meters it didn't go as fast or as far and make it to the end of the track because the PE at the top was 977.
336,The car should be 60 kg.
238,This would mean that the PE would also be 2443 at the top of the initial drop and the KE would be 2443 at the bottom of the initial drop.
541,Any hills that are added to the ride must be lower as compared to the initial drop height.
562,I found the height of the hill has to have less PE at the top of the hill than the PE at the initial drop.
572,This shows that the greater the mass the more energy will be transferred over time.
355,One last detail on the coaster are the hills.
187,I also believe this because of how fast my teams roller coaster will go.
124,proving that you should use our design because out coaster will go farther then others.
328,Then at the top of the hill the PE was 1959 J and the KE was 489 J and had enough energy to go up the hill.
86,"The hill should be 3m tall, with the 5m drop the 3m hill the car will make it over the hill."
95,"the pe, and ke will always be the same as long as the ride ends on the ground."
537,It had
64,The drop height relates to the kinetic energy at the bottom.
563,My data shows that all of the hill heights that were less than 4.5 meters worked.
256,When the cart is at the end it was 0 PE and whatever the PE was at the initial drop.
161,"Knowing that most people who go on roller coasters love the fast ones, we made ours fast."
548,"When I used a car that had a mass of 60 kg, the roller coaster car had a total energy 2934j."
89,The pe for a 60kg car will be 2933J but when I decreased the mass to 50kg the pe was only 2444.
519,The car mass for my roller coaster design is 60kg.
674,"Also when the height is greater so is the connected energy at the bottom, at 5 meters the KE at the bottom was 2442 but when at 4 meters the KE at the bottom was 1954."
599,"For example, when I tested the drop height of 2 meters, the PE was 1173 at the top of the drop."
408,"In one of my trials, the initial drop height was 4.00 the TE was 1955, the TE of the hill height was 1959 and my car made it."
375,At the end of the ride all the PE is converted to KE.
159,It will also make it exciting because in the ride It'll go around loops and up hills faster giving it more of a thrill.
78,It would also be less likely for the cart to make it over the hill because it doesn't have enough energy/kinetic energy to get all the way up and down the hill.
839,"This is shown in my data because when I had a hill height of 4 m, the car had 529 J of KE, but when I decreased the hill height to 3 m, the car had 1068 J of KE."
333,Then there will be a loop and the reason it is 4 m is the same reason as the hill.
10,Also then we can make the roller coaster fun reliable and extremely safe.
347,The first trial had a release height of 2.4 m. This height produced a total energy of 1220 J.
276,"For example, if the initial drop height is 4 meters, i will have 1955 J of energy, while if it has an initial drop height of 5 meters, it will have 2443 J of energy, which is more than 4 meters."
840,"This shows that the greater the hill height, the less energy the car will have, meaning we want a low enough hill height for the energy to make it all the way up the hill safely."
255,If there is no KE then there is no velocity.
31,We are constantly adding to ideas and things we can changes to make this ride enjoyable.
497,Then at the bottom the PE was 1J and the KE was 1954J.
267,"E1R: I would recommend to make the initial drop 5 m because then the PE will be higher, meaning more PE at the beginning the same KE at the end."
142,When dealing with energy you need to keep the Law conservation of energy in mind.
764,Then how does potential turn into kinetic its because it transforms into the other.
792,"But when the car's mass was less, the car had less PE, KE, and TE."
826,Most often being transferred into KE this is why the total energy will stay the becasue the energy does go away and KE doesnt just appear.
473,When thinking to both drops the potential energy starts with all the energy the roller coaster has.
352,"A cart's mass may seem to not be important, but it actually can have a great affect on the energy of the ride."
698,E1: We should start the roller coaster at 5 meters for the initial drop.
467,If the hill were higher or the same height the cart would not be able to get over it.
259,When all the energy is TE then the cart is at a stop.
606,"For example, when the drop was 3 meters, the PE at the top of the drop was 1762, and the KE was 0."
344,My proposal is to make a roller coaster with the highest initial drop height possible.
98,"With a drop height of 5 meters, the pe at the top was 2443J and the ke at the bottom was 2442J the total energy for that drop was 2443."
807,"Another example is when I had a 5 meter drop the PE at the top was 2199 but at the bottom is was zero, and at the top the KE was zero but at the bottom the PE was zero."
2,We also got the perfect amount of energy at the bottom of the coaster.
65,After the cart went through the roller coaster at the bottom there would be a lot less potential energy and a lot of kinetic energy.
448,"In ""Mass and Energy Data"" it shows that when my car's mass was at the highest (60kg) it had 2937J of energy causing it to not stop until the end."
371,I know having as much total energy as possible is best because of energy conversion.
571,"But, in my trials where the car was 60 kg the total energy was 2644 J."
744,"So for that reason, the hill height must be smaller than the initial drop height."
719,and the relationship between KE and PE and total energy.
443,"In ""Initial Drop Data"" it showed that the tallest drop which was 5m had the greatest amount of energy 2443J."
213,If the cart weighs 40 kg it has 1959 PE at the top and 1955 KE at the bottom of the drop.
559,"But, at the drop height of 3 meters, the car had 1465 Joules of KE at the bottom of the initial drop."
30,we also made this roller coaster having many twist and turns to make it fun and safe.
628,"Both inversions would come after the two of the hills, the hills would be all in different parts of the ride."
410,So you should make your initial drop at 4.00 m. Your hill height should be at 3.69.
354,"The cart with the least mass of 46 kg had 1570 J of total energy, while the cart with the most mass of 60 kg had 2054 J of total energy."
290,For example when I did an Initial Drop height of 5 m and had a hill height of 5 m it didn't go over the hill because it did not have enough energy.
47,So like for our roller coaster since it drops from a high height it has lots of potential energy at the start and then has a bunch of kinetic energy at the bottom.
101,The mass of the car should be 60kg.
732,and most of an even split between PE and KE is when the cart is going down the hill.
816,When I had a car mass of 40kg the PE at the top of the drop was only 1958 but when we bumped up the mass to 60kgs the PE went up to 2936.
452,However with my shortest drop of 2m it only had 977J of total energy.
198,My 3.15m hill made it all the way meanwhile my 5.00m hill did not.
784,"At the bottom, however, the energy changed to KE because the car was in motion and the PE has fewer joules because there was no more stored energy."
111,When we dropped the roller costar cart from 2 meters it didn't go as fast or as far and make it to the end of the track because the PE at the top was 977.
81,The quicker the cart went through the rollercoaster.
446,My reason for a heavy car is that it increases potential energy.
58,Yesterday when we were doing trials with different car masses my group noticed that the higher the mass was the more energy.
739,"In a frictionless world, our models have shown the total energy is the same as the potential energy in the beginning and the kinetic energy at the end."
287,I think the initial drop height should be 60 m and then have a hill that is 50 m tall and I will explain to you why I think this.
41,E1: We are starting our rollercoaster drop height at 5m.
671,I want to have the drop height at 5 meters because height and Energy are directly related.
402,So that is my ideas to the Gonzales family to make their roller coasters better.
6,Are roller coaster is going to have a mass of 45kg to make the coaster perfectly safe and fun.
160,I also believe this because of how fast my teams roller coaster will go.
513,"For example, when i tested the drop height of 2 meters, the PE was 0 joules."
341,"E1: Dear Gonzalez family,"
564,But the 5 meter hill height did not work because PE at the top of the hill was 2202 J.
288,You said you wanted an exciting roller coaster so I made the drop height 60 m. I didn't want to make it too tall and have it take up too much space but I also didn't want it to be boring.
392,This is our idea Gonzales family.
179,"For example, one of my carts had the mass of 60 and had the PE of 2790 and the KE of 2772."
107,"First our design works well, our design was built with speed and success in mind."
419,One example is with a drop height of 2.50 meters the PE at the top was 1334 joules and at the bottom of the drop the KE was at 1333 joules.
340,All of this is why you should choose my design for an initial drop height of 5 m and a hill height of 4 m. Thank you for your time.
776,The PE and KE were the same at the bottom because the car didn't make it over the hill.
704,The best decision for the height of the hill would be 4 meters and here's why.
472,In my simulator I put the hill at 4.25 because it was shorter than the 5.00 initial drop but high enough to still be thrilling.
44,The drop height relates to the kinetic energy at the bottom.
319,At the bottom the KE was 2442 J and the PE was 1 J.
823,PE is the kind of energy it will have at the top of any part of the ride when the car is completely still but still has more movement still left to come.
66,This is because the object went through a ton of speed to get to the bottom.
131,So when that cart fell from 5 meters the PE at the top was 2443.
309,All of this is why you should choose my design for an initial drop height of 60 m and a hill height of 50 m. Thank you for your time.
781,"Well, it was transferred between KE and PE."
761,2m had a potential energy of 1173 joules and 3m had a drop of 1759 joules.
249,"We tested 4 heights 5, 4, 3, and 2 meters."
133,So you should use our design because we have a higher drop and the roller coaster cart makes it to the end of the track successfully.
24,Are roller coaster is going to have a mass of 45 kg to make the coaster perfectly safe and fun.
146,Potential energy is at the top because it's saying how much energy it could have bu the Kinetic energy is what it really has so that's why it's at the bottom.
163,This drop will give you lots of power to go up the hills and loops after that.
231,"Such as a cart with a mass of 60 kg, this cart has 2938 PE at the top of the drop and 2932 KE at the bottom."
451,"When you have a greater amount of potential energy, you will in turn have a greater amount of kinetic energy.The total energy is the overall amount of energy in the coaster, meaning that your kinetic and potential energy are a part of the total energy of your coaster."
102,The pe for a 60kg car will be 2933J but when I decreased the mass to 50kg the pe was only 2444.
608,The PE and KE always balance each other out.
196,There is less PE and KE when the hill is smaller.
96,"When the drop height was 5m the 2443 and a ke of 2442 at the bottom of the hill, when the drop height was 3 m the pe was 1466 and the ke was 1465."
657,And potential energy means how much energy can be in an object another thing to keep in mind is that the law of conservation of energy states that energy cannot be created or destroyed.
87,When the hill height was 3m the car made it over the hill but when the height was increased to 5m the car could not make it over the hill.
504,When the car mass was 40kg then the PE at the top was 1956J and then the KE was 1954J at the bottom.
586,"In order to fully make it through the ride we need alot ofkinetic energy, and in order to get this needed energy we need potential energy."
762,Potential energy is the foundation of the fun and speed of a coaster and that's why the higher the better and why my team is having a 5m drop.
634,More people will be attracted to your park because of this coaster.
72,Kinetic energy is the energy of a moving object so all rollercoasters at the start have 0 kinetic energy because the cart is not moving but has a lot of potential energy.
219,This also goes for any height that you have.
745,Our group's hill height is 3 because our initial drop height is 5.
423,At the initial drop of 5 meters the PE is at 2668 joules but at the bottom of the drop the PE is at 0.
18,E1R: We are going to gave are roller coaster drop height of 5 meters doing so has the perfect amount of potential energy and just enough potential energy at the bottom.
799,"The more energy, the faster and more exciting the roller coaster will be."
175,These energies effect each other because the energies can NOT be created or destroyed.
266,As you can see the lower the mass the lower the PE and KE.
528,How PE KE and Total Energy works.
481,In my simulation the 60 kg cart had the greatest amount of energy over the 40 kg cart.
640,The best way to make a roller coaster is to have people have fun and be feared by the coaster.
483,E1R: My claim is that I can help the Gonzalez family make a safe and thrilling roller coaster.
756,Total energy is the amount of energy stored or expelled in the object.
510,"Also, it shows that the TE stays the same throughout the whole ride because when the initial drop was 3m, then the TE at the start was 1466J and at the bottom was also 1466J."
29,We have done many test and problem solving to make this coaster the most fun and safe reliable roller coaster you can ride.
349,With a difference of almost 600 joules it is easy to see that higher is better for maximum energy and fun.
251,The height of 2 m had a PE of 997 J.
253,Since there is no friction the KE will be what the PE is at the beginning because there is no thermal energy changing the energy into energy we can't use.
673,in our initial drop data when the drop was 5 meters the PE at the top was 2443 J compared to when the drop was at 2 meters the PE was 977 J.
666,This is why I believe the Gonzalez family should choose my roller coaster.
647,"I learned from my data that the more height causes more speed, the fastest initial height I found while still being safe was 3.60m tall."
406,Once you go the KE at the bottom of the drop is the same number as the PE at the top of the drop.
540,This means that energy will transfer from potential energy to kinetic energy and back again throughout the ride.
361,This law tells us that energy cannot be created or destroyed.
400,And then after the car makes it over the 4 meter hill the drop will be giving them enough energy to make it over the 3.5 meter hill.
250,The drop height of 5 m had a PE of 2492 J at the initial drop.
561,I found the initial drop height should be higher than the hills because the car has to have energy to make it to the end.
785,"To confirm that PE and KE transfer the energy between each other in another one of my trials the PE at the top of the initial drop was 1,955 J and KE 0 J."
318,But when I had a drop height of 5 m the PE at the top was 2443 J and the KE was 0 J.
755,Potential energy can be defined as the energy stored in an object which transforms into kinetic energy when in motion.
381,When the car mass is 50 the PE top of the initial drop (5m) would be 1958 J and KE bottom of Drop would be 1955 J.
366,"I know this because of my second experiment, where the first 3 trials of 2, 2,5, and 3 m hills all allowed the cart to go over as soon as the release height equaled the hill, the cart did not pass over."
475,But when the energy converts it is never adding more energy.
127,"Here I will prove to you all of the things I just said with data from test runs, logic, and the relation ships between energy and the track."
137,In our test drops when we had our hill at 2 meters the cart went over it without a problem because it had enough energy form our 5 meter drop to go over the 2 meter hill.
190,This drop will give you lots of power to go up the hills and loops after that.
618,"When the mass goes down, the KE goes down."
482,In conclusion you now know how roller coasters energy works and you now see that I can make a very fun and safe roller coaster.
7,"We have made this coaster to be the most fun and safe roller coaster but also make it to the perfect amount between friction, potential energy and kinetic energy."
110,So when that cart fell from 5 meters the PE at the top was 2443.
597,E1: The drop height of my roller coaster is 5 meters.
645,"The second coaster would start when the first coaster gets to the third hill, this adds safety and shorter lines."
833,"This is seen in my data because when my car mass was 60 kg, the TE was 2,934 J, but when I decreased the mass of the car to 50 kg, the TE was 2,445 J."
411,And the mass of your cart should be about 40 kg.
401,And then after the car makes it over the 3.5 meter hill it will have enough energy to make it over the 3 meter hill and then it goes on and on.
209,"E1: Dear Gonzales Family, 
If you want to have the best roller coaster possible you should have a pretty high initial drop height and also you can add some hills into it."
169,There is less PE and KE when the hill is smaller.
264,"We tested 3 masses 51 kg, 45 kg, and 40 kg."
46,This is because the object went through a ton of speed to get to the bottom.
45,After the cart went through the roller coaster at the bottom there would be a lot less potential energy and a lot of kinetic energy.
91,"When the mass is 60kg the pe was 2933J and had a ke of 2932J of ke, but when the mass was 40kg the pe was 1955 and had a ke of 1955."
200,"These different initial drops effect the PE, KE, and TE because the higher the drop the more PE and the lower the drop the less."
218,But once you get to the bottom of it there is more KE and no PE.
717,and for us the designers to make it and the higher the drop the more total energy there will be.
82,We also noticed that when the mass was lower it sometimes wouldn't make it up hills or get all the way through.
11,We have done many test and problem solving to make this coaster the most fun and safe reliable roller coaster you can ride.
245,"So when you take cart mass, initial drop height, and hill height into consideration, these things can determine whether the coaster will work or not work."
659,Another thing is that the more mass the coaster has will also affect the PE and KE of the coaster.
395,"First what they could do to make it last longer is have it go in loops so that the Gonzales family don't have to make the roller coaster long itself, just the time."
394,I also recommend that they make it more fun as well and hear how i think they can do that.
324,But then at the top of the hill or close to the top of the hill the PE was 2449 J and the KE was 1 J.
621,"This is because the greater the height, the greater the energy."
214,Compared to a cart that has a heavier mass.
308,"This is why I have the hill height at 50 m, to make sure that the car will have enough energy to go over the hill and make it safely to the end."
676,The TE is always the amount of KE and PE when there's no friction.
104,"When the mass was 60kg the pe was 2933J and had a ke of 2932J of ke, but when the mass was 40kg the pe was 1955 and had a ke of 1955."
568,I found that the mass of the car has to be heavier in order for the car to gain energy as it rides.
393,E1: I recommend that the Gonzales family could make the roller coaster last longer to make people think that they are getting their money's worth.
662,E1R: I believe that my design or the Gonzales roller coaster would be the best.
99,"When the drop was decreased to 4m The hill should be 3m tall, with the 5m drop the 3m hill the car will make it over the hill."
23,The relationship between the drop and the initial drop is 1 meter.
679,"When the height was 2 meters the PE was 977 and KE was 0 but at the Bottom, the KE was 977 and the PE was zero."
751,This means that the total energy is the same as the PE in the beginning and the KE in the end.
743,If it isn't the roller coaster car won't go over the hill.
307,Then at the top of the hill the PE was 2450 J and the KE was 489 J and had enough energy to go over the hill.
775,"In a trial, when the height of the initial drop was 5m and the hill height was 5m the car's PE at the top of the initial drop was 2,446 J and the KE was 0 J."
442,This means that increasing the potential energy will make the roller coaster have more kinetic energy as it moves.
607,"When added, they equal 1762, which is the total energy."
166,The PE and KE also is affected when the cart goes up and down our hills.
382,The total energy would be 1958 which would be good because the car would not need friction to get over the kill which would make it very fun for customers.
654,So the hill will be small enough for the coaster to cross over it will have less kinetic energy when it reaches the top of the hill KE.
675,"The relationship between PE, KE, and TE is pretty clear, with no friction the TE is always the same as the starting PE, and it doesn't change either at the end of the ride ."
728,1955 J.
9,We have made this roller coaster to be the safest and the most fun roller coaster so then it is fun and reliable and safe so then we can prevent the bad things that may happen during the roller coaster.
396,"What i mean by that is instead of them going around the track only one time, the Gonzales family could make it go around two time instead."
338,For example when the car mass was 40 kg the total energy was 1985 J.
457,You also need to have enough energy from the initial drop to make it all the way to the end of the roller coaster.
822,In other words PE and height have a direct relationship.
403,E1R: I recommend that the Gonzales family could make the roller coaster last longer to make people think that they are getting their money's worth.
105,"E1: Dear Gonzales family, 
You should build our design because it works well, and people will like it."
369,"E1R: Dear Gonzalez family,"
437,THIS WAS DONE IN A FRICTIONLESS SIMULATION.
243,For example when you are at the top of an initial drop you have a certain amount of PE.
235,This also goes for any height that you have.
793,"For example in my trials when the car's mass was 60 the PE was 2,932 J at the top of the initial drop and 2,932 J of KE and at the bottom of the drop, the TE was also 2,932."
114,In a roller coaster we all know there are many ups and downs to make it more fun for the rider in our roller coaster we added a hill after the drop out hill is 2 meters tall.
706,Since the hill has to be shorter than the drop it should be 1 meter below 5 meters which is 4 meters so it has the most momentum.
315,For example when I had a drop height of 2.5 the PE at the top was 1222 J and the KE was 0 J.
759,Getting into why this is important in a roller coaster is because fun is speed that is important.
28,Also then we can make the roller coaster fun reliable and extremely safe.
221,Once you get closer towards the bottom the energy starts to transfer from one to another.
652,A hill will be added to slow down the coaster so it has a smoother ride to the end.
215,"Such as a cart with a mass of 60 kg, this cart has 2938 PE at the top of the drop and 2932 KE at the bottom."
325,And because of this it wasn't able to go over the hill because it didn't have enough energy.
185,"This is because the cart doesn't need as much energy to go around these loops or hills when they're smaller vs when they're bigger, also giving it more total energy."
94,The pe of the 5 m drop was 2443J but when I decreased the height to 4 m the pe was 1955J.
461,In the roller coaster simulation the highest drop (5.00) had the most stored energy (PE) so it could go the farthest.
113,Seconded I want to talk about how our roller coaster works well because of the hill.
455,E1: My claim is that I can help the Gonzalez family make a safe and thrilling roller coaster.
85,"When the drop height was 5m the 2443 and a ke of 2442 at the bottom of the hill, when the drop height was 3 m the pe was 1466 and the ke was 1465."
827,"E1: One recommendation I want to make to the Gonzales family is to have the initial drop height be 5 meters, so that the coaster car will have enough energy to safely make it through the entire ride."
426,E1R: The drop height for my coaster design is 5 meters.
644,"These lines would be very long since it’s a long coaster, so I think the best way to counter the long lines would be to have two coasters going at the same time."
225,"E1R: Dear Gonzales Family, 
If you want to have the best roller coaster possible you should have a pretty high initial drop height and also you can add some hills into it."
15,We have calculated the perfect amount of potential energy and kinetic energy but with a little bit of friction.
306,At the initial drop the PE was 2448 J and the KE was 0 J.
567,"This shows that if the hill height is taller than the initial drop height then, the coaster won't make it to the end."
282,"E1R: I suggest having a really high drop, a hill that is about 4/5 the size of the initial drop, and the coaster cars should be heavy."
109,"In one of our test drops when the cart fell from 5 meters it went through the entire coaster because when the PE at the top of the coaster is higher, the faster the roller coaster cart will go."
689,"Also when the height is greater so is the kinetic energy at the bottom, at 5 meters the Kinetic Energy at the bottom was 2442 but when at 4 meters the KE at the bottom was 1954."
141,"Third I wanted to talk about the relationship between PE, KE and total energy."
582,"E1: For what your requesting, I recommend we have a drop height of 5 meters."
619,"This means that when there is a greater mass, there is a greater energy."
33,We have calculated the perfect amount of potential energy and kinetic energy but with a little bit of friction.
292,The amount of energy there is depends on how much PE and KE there is.
0,E1: We are going to gave are roller coaster drop height of 5 meters doing so has the perfect amount of potential energy and just enough potential energy at the bottom.
834,One thing to be aware of is how PE and KE can convert from one to the other as the car is moving.
316,At the bottom the KE was 1221 J and the PE was 1 J.
545,Our last experiment was comparing mass and energy.
303,When I had an initial drop height of 5 m and a hill 5 m the PE at the top of the initial drop was 2450 J and 0 J for KE.
544,"However, when I tested a drop height of 5.00m and a hill height of 2.50 m, the roller coaster car went over the hill."
632,"E1R: Dear, The Gonzalez Family."
819,E1R: The drop height for my roller coaster is going to be 5 meters.
22,We got rid of friction.
74,"Total energy
While the cart goes down the drop the potential starts to decrease very quickly and the kinetic energy number increases really quickly because the cart is moving and not just sitting still."
140,You should use our design because we added fun and successful hills into our coaster.
578,When the car is released from the initial drop height there is more KE being produced over the ride.
277,"The reason for the hill being about 4/5 the size of the initial drop is that if the hill is the same height as the initial drop, the coaster car will not have enough energy to get to the other side."
611,"When the PE goes down, the KE goes up."
353,My third experiment gave me trials to prove that a bigger cart is better.
493,Then at the bottom of the drop the PE was 1J and the KE was 1465J which has a TE of 1466J.
173,"These different initial drops effect the PE, KE, and TE because the higher the drop the more PE and the lower the drop the less."
433,"potential energy transforms into kinetic energy, and kinetic energy converts into potential energy, and then back again."
416,The higher your initial drop height is the more PE you will have at the top of the drop.
750,"In a frictionless world, our models have shown that the total energy is the same as the potential energy in the beginning and the kinetic energy at the end."
552,"The ride will be fun and exiting but, also safe for everyone."
518,When i increased the hill height to 4 the PE at the top of the hill increased at 1734 joules.
49,Kinetic energy is the energy of a moving object so all rollercoasters at the start have 0 kinetic energy because the cart is not moving but has a lot of potential energy.
