idx,sentence
107,"Overall, I think that the Gonzales family needs to make their initial drop higher than the hills and loops."
400,"Then when I tested a 5 meter drop, the potential energy at the top was 2688 Joules."
569,If the hill is the same height or higher than the initial drop then the car won't be able to go over because it won't have enough kinetic energy.
411,"I think this would make the ride fun and exciting because my data shows that a 50 KG cart has 2438 Joules of potential energy at the top of the initial drop, and 2435 Joules of kinetic energy at the bottom."
90,"For example in my data of Adding Hills, when the PE at the top of the initial drop was at 2449J, the amount of TE was 2449J."
441,The Gonzales family should use my roller coaster design because it meets the standards of the roller coaster they are looking for.
670,The PE at the top of the initial drop is the same as the total energy.
740,"Upon changing the drop height to 5 metres, the PE changed to 2443 J, a massive step up."
327,E1: dear Gonzales family
572,"However these tests were done without friction so some of the energy would transfer into thermal energy, so you would need a lower hill height and more momentum from the initial drop."
222,"We decided on an initial drop of 4.5m, because it allows enough energy for the cart while keeping the ride exciting."
376,The way my ride works is as you are about to board you are brought to the first drop of my ride.
300,"For a 3 m drop, the PE was 1466 J and KE was 0 J but at the bottom the PE was 1 J and the KE was 1465 J."
102,"Also, they should make sure the mass of the cart is at 60, so then there can be more TE."
346,E1: My Claim is that I can help the Gonzales family make a new and better roller coaster.
777,"This is because the cart will not have enough PE/total energy to make it across the entire track, and will instead get stuck at the hill."
467,The more mass the less the speed will be
796,"Then, when the drop was 5 meters, the potential energy was 2668 at the top and the kinetic energy was 2666 at the bottom."
86,"For example, in my data on Adding hills, when I set the hill height to 5.0 m and the initial drop to 5.0 m. The cart was not able to make it over the hill because there wasn't enough total energy, PE, and KE."
13,"If we wanted the hill to be pretty high, based on my data the cart mass would have to be high."
240,"For example, when we tested a car mass of 50kg, the total energy was 2201J."
79,This is so then there can be enough total energy to make it over the hills and around the loops.
373,Using one of my trials we can see that the less the cart weighs so lets say it weighs 40 kg then the amount of PE will be at 1958 J causing the cart to have less energy stored.
69,"For example, in my data on Adding hills, when I set the hill height to 5.0 m and the initial drop to 5.0 m. The cart was not able to make it over the hill because there wasn't enough total energy, PE, and KE."
699,"When we had a mass of 50 kilograms, the car had a total energy of 2449 joules."
367,E1R: My Claim is that I can help the Gonzales family make a new and better roller coaster.
571,But when the hill and initial drop were both 5 meters the car's KE at the top of the hill was 0 so it did not have enough energy to make it over.
127,This will help when considering hill height and the initial drop height.
151,"For example, when I tested the drop height at 2m the PE was 1173(J), but when I tested the height at 5m the PE was 2932(J)."
40,E1R: I think that the height of the initial drop should be 5 meters.
402,The total energy in a roller coaster is constantly being passed between kinetic and potential energy.
71,"So setting the height of the hills lower than the initial drop, will provide enough energy."
427,I think these recommendations will make for the best fun and safe roller coaster.
352,When you go down the hill you will see that the PE starts to transfer over the Kinetic because of it's motion.
716,That will eventually after the coaster hits the hill.
758,"First, we will understand how potential energy (PE) is a direct relationship with height."
137,"But when the hill height was 5m as well, the cart was not able to to make it over the hill."
814,"When I tested the drop height of 4 meters, the potential energy was 2445 joules."
470,"E1R: Dear Gonzales family,"
141,"For example, the initial drop height is set at 5 m, and the cart mass is 52 kg."
215,This shows that the energy is converted from KE and PE because no energy is added or subtracted.
439,"The mass of the cart which holds the riders, should be 50 kg."
139,"This is do to the total energy that is effected by the height of the initial drop, which means it only has enough total energy for going over hills that are smaller then the initial drop height, which in this case was 5 m. When it comes to mass, it has an effect on total energy as well."
96,"My data, it shows that when I set the height to 5.0 m. The amount of PE was 2449J, and the amount of TE was 2449J."
656,I look forward to making this roller coaster with you in the future.
3,"because of the PE being higher than the others, that means the car can go faster and keep the momentum so its safe and a blast to be on!."
333,if you are going to add a hill do it 3/4 up cause it has more pe energy and ke and you can't do it too high cause then it will just go back down the hill.
619,"my team has been working on this idea for a while now and we think you'll like it, it is called the Top Thrill Dragster."
394,I chose 50 kg to be safe to make sure it gets over and to make sure it dosent go to fast.
795,"When the initial drop was 2.5 meters, the potential energy was 1334 joules at the top and the kinetic energy at the bottom was 1334."
844,E1R: The drop height of my roller coaster design is 3 meters.
545,PE and KE change as they go down the drop.
623,"Even though PE and KE might change, this does not effect the total energy."
185,"For example, in trial number 2 the amount of KE is 0, the amount of PE is 1466 and the TE is 1466."
39,"With friction, the kinetic energy at the bottom of the drop would not be as close to the potential energy at the top of the drop because some of the energy would turn into a non-mechanical kind of energy like thermal energy."
423,"My data shows that a 50 KG cart has 2438 Joules of potential energy at the top of the initial drop, and 2435 Joules of kinetic energy at the bottom."
727,"In my following experiments, we kept the height the same(5 meters) and the hill height the same(3 meters) and increased the mass of the car."
577,E1: Dear Gonzales family here are my recommendations for you to make the best roller coaster possible for your park.
58,Putting the hill height at 3 m will make it so the car will not stop before it is supposed to but will also be fun and fast.
219,"In conclusion, the roller coaster should have an initial drop higher than the hill, and the mass of the roller coaster should depend on how much energy you want the ride to have."
99,"Also, when I set the hill height to 4.75 m. There was enough total energy to make it over the hill when the initial drop height was 5 meters."
438,"If the Gonzales family added the 3.00 m hill, the ride would be more fun, but still make it to the end of the ride."
450,"E1: Dear Gonzales family,"
550,"Odviously, the TE energy decreased because some of it converted to mechanical energy and became useless energy."
789,"If our cart is 40 kilograms, it would glide through the track but not really gather a lot of potential energy due to its lightweight."
444,"For example, In Trial 1, when the drop was 5.00 m, the total amount of energy was 2443 J."
702,"When we dropped the car from 3 meters, there were 1,466 joules of PE at the top and 1465 joules of KE at the bottom."
320,"Also at the top, the KE has a smaller number but at the bottom it has a larger number."
759,A direct relationship is where one variable increases/decreases with the second variable.
834,"The height relates to the KE because at the bottom of the initial drop, since the height was 3 meters the KE is going to be a lot larger than the PE."
82,"This is because if the initial drop is higher than the hills and loops, there will be more total energy to go over the hills and loops."
446,"In Trial 3, when the hill height was 5.00 m, the coaster car did not make it over the hill."
63,"All of these trials were conducted without friction, but I know that there would be friction in the real world."
827,E1R: The drop height of my roller coaster design is 5 meters.
331,and if you did it too small there would be no speed no energy it would not be fun.
49,"In an ideal situation where the bottom of the drop is flush with the ground, the kinetic energy at the bottom would be equal to the total energy."
315,Mass also effects PE and KE.
847,"Depending on how much mass the cart has, at the initial drop the potential energy goes up."
7,with a smaller hill height the more momentum and the higher we can make the next hill because of all the PE to keep going.
563,For example when the initial drop height was 3 meters the PE at the top was 1173 joules and 1173 joules of KE at the bottom.
111,"E1: When building this roller coaster, you will need to consider the initial drop height, the hills height and the mass of the cart."
642,Once through the loop the magnets will help us get to the top of the hill then when we are at the top there is a spot for people to get of if they don't wish to continue.
618,"E1: My proposal is this, you allow my team to give you an idea that could save your business and open a new attraction to your park."
290,The 1 J of energy went into the air.
640,This kinetic energy should help us get through the loop.
409,This means it has enough potential energy to keep moving after the hill.
202,"E1R: Dear Gonzales Family, I propose that the total amount of energy at the bottom and top of the initial drop should be the same but the KE and PE should be different."
347,In order to make a new and exciting roller coaster we needed to know how to make a collar coaster and all the parts that go into making a roller coaster.
785,What takes more effort to push?
700,"This shows that the more mass the car has, the more exciting the ride will be, since the energy it has will make the car go faster."
778,"Since we need our passengers to make it across the hill, we needed to simply make the hill height smaller every single time."
54,I think the best hill height would be 3 meters.
561,Thats why the total energy is smaller at the bottom of rides rather than at top.
264,"But when we used 4.5m for the drop, the total energy went up to 2199J."
72,"And to have more total energy to get over things, the initial drop needs to be higher than the hills and loops."
359,One last thing we needed to know was the mass and the relationship it has with PE and KE.
167,Then there is a down hill and a corkscrew with very small bumps at the end.
351,When you start at the top of a hill you will see that all of the potential energy is stored into that object.
554,"But when I had a drop height of 4 and hill height of 5, the cart didn't make it through the ride."
845,The energy transformation changed when the height of the roller coaster was higher or lower.
33,Putting the hill height at 3 m will make it so the car will not stop before it is supposed to but will also be fun and fast.
482,In the next simulation we did we learned about the mass and energy of the coaster car.
166,"After that loop there is another loop that is 250m tall, so again it should make it past there."
286,"For example, the TE and PE at a 3 meter release height were both 1466 J."
466,This coaster car had the least potential energy with 1958 J of energy.
103,Which will provide a faster and more fun ride.
630,"Even though PE and KE might change, this does not affect the total energy."
208,"This is true because the total amount of energy in trial 2 begins at 1959 J and ends at 1959 J, while the energy is transformed from PE to KE."
97,"But when the cart went to the bottom of the hill, the KE was 2445J and the PE was 4J, but the amount of TE was still 2449J."
683,"When we dropped the car from 3 meters, there were 1466 joules of PE at the top and 1465 joules of KE at the bottom."
87,"The PE at the top was at 2449J, which isn't enough potential energy to make it over the hill."
615,This means that it must be transferred to another energy source just like kinetic energy to potential energy which equals the total energy.
747,"Looking back on the final KE, we can notice it simply doesn't have enough to continue moving up the hill, it can only fall back down."
610,The mass of your cart will effect your coasters potential energy and kinetic energy because the cart is much harder to transfer as it is a much heavier object.
500,i tested this stuff without friction obviously that's not possible in the real world.
76,Still having it be fun and safe.
173,"For example, a hill height of 5000m needs 7000(J) to make it over, but the initial drop height of 4500m only gives 4750(J) it will not be able to get over."
255,"First of all, to make the ride exciting, as I mentioned before, we need as much total energy as possible."
429,"It is exciting, and the cart makes it to the end of the ride."
332,"in the middle height, you just won't have enough energy as the highest one."
805,E1R: The drop height of my roller coaster design is 250 meters.
171,"For example, when I tested the drop height at 2m the PE was 1173(J), but when I tested the height at 5m the PE was 2932(J)."
289,"For example, at a 4 m release height the PE was 1955 J of energy and while the car went down the drop the PE turned into KE so the KE was now 2442 J of energy."
306,E1: The drop height of my roller coaster design is 5 meters.
559,"The relationship between PE and KE is that when the cart is on the top of the hill, the KE is always 0, but when the cart is at the bottom, the PE is always 0."
234,"Once the car starts moving, the kinetic energy goes up and potential energy goes down."
784,To put it in a simpler way: imagine you are pushing a boulder and a rock.
823,It was still able to get over the hill.
428,E1: The Gonzales family should use my roller coaster design because it meets the criteria they are looking for.
38,"All of these trials were conducted without friction, but I know that there would be friction in the real world."
192,"For example in trial number 3 when the drop height and hill height are the same, the car doesn't have enough energy to make it over the hill."
230,"At the top of the initial drop, there is only potential energy, and no kinetic."
345,you want to make it as heavy as you can cause that has the most energy pe and ke and total that will bring you the most.
378,As you the rider gets through the intial drop and going down you will hit the first hill.
633,"The roller coaster design I have come up with will be a great addition to the park as my roller coaster is long, scary, exciting, has tons of inversions, a huge hill, a corkscrew, and rings of fire."
235,"For example, in our first trial we used an initial drop height of 3m, this gave us 1466J of energy to work with."
419,This proves that the total energy is equal to the sum of the kinetic and potential energy.
551,Thats why TE energy is smaller at the bottom of rides rather than at top.
