idx,sentence
762,E1: The drop height of my roller coaster will start off being 5m high.
410,The last thing I think we should discuss is the mass of the cart.
387,This proves that the amount of TE does not change.
87,"E1R: Through lots of research, I have figured out the requirements and recommendations for the best roller coaster design so far."
461,One last recommendation I have is to have the mass of the car somewhere between 50 and 60 kilograms.
108,You should also think about the mass of the car.
828,This is because there is more space for the object to hold energy.
497,I hope you will conseder my options and all the tests I took to find the best option for your future rollercoaster.
98,"If the hill is the same height or taller than the initial drop, the car won't have enough KE to make it over."
303,"First it has a fast initial drop down into a tunnel then in slowly climes a hill, gaining 2937 PE to make it over a giant hill."
775,This is because it didn't have enough KE.
192,"First of all, to make sure the car will make it to the end of the coaster we will make the initial drop height be 5 meters high."
334,The first loop would be right after the drop and it would be 3.50m tall and wide.
194,"For example, we tried many trials including drop heights of 2,3,4, and 5 and noticed that as the height of the drop increased the PE also increased."
411,We should have the mass of the cart at 50.
398,The 4th test had 55 kg of mass and had a total energy of 2690.
654,The total energy that is created from the height of the drop will also effect how high we are able to make our hill.
432,"The best mass for the cart, is 50 kg this made it so the total energy was 1951 J."
335,After that there would be a hill that leads into a second loop that is 2.60m tall and wide.
78,You should also think about the mass of the car.
333,The inversions would be 3 loops and one 360 roll the loops would all be different sizes.
158,"If is not, the amount of total energy would be the same for both hills and with all the Potential energy, it still wouldn't be enough to get to the top of the hill."
321,My design has 4 inversions and it starts on a big drop that is guaranteed to give you the most speed.
646,The 55 kilogram car had a total of 2682 jewels of potential energy.
559,And it will not make it to the end of the ride.
798,"This also means that when the car is at the very middle (half the height of the original drop), it will have the same amount of kinetic and potential energy."
144,"The energy cannot be created or destroyed only converted, so when the amount of potential energy goes up the amount of kinetic will go down and vice versa."
363,"On my 4th test it shows that the hill height is 4.10 meters, and has a PE of 2014 at the top of the hill."
740,"To put that in perspective when I tested a car 10 kg lighter it only had 2190, making it not as fun for the riders."
703,Most roller coasters start with a chain to pull them up but my roller coaster will start with an initial drop of 4.0 m. The amount of PE at the top will be 1955 J and the KE at the bottom will be about 1954 J.
466,These are all of the recommendations I have for the new roller coaster.
126,"This means that the total amount of energy that a roller coaster car possesses will stay the same no matter where it is on the track, however the amount of kinetic and potential energy may fluctuate."
664,If the hills are higher the car will be unable to make it over.
251,At the top of a hill there is an amount of KE due to the fact that the car is in motion.
169,"The potential energy was 1957J, but as the cart began to go down the hill, the kinetic energy and potential energy switched."
94,I recommend a higher initial drop to thrill the riders with more speed.
16,My roller coster will have an initial drop of 5 meters and will have a hill right after that is only 2 meters high.
189,"This data also shows how car mass, KE, and PE all have a direct relationship."
157,The height of the initial drop must be higher than the hill that comes after it.
615,When the PE went down the energy converted into the KE.
43,"The 5 meter start height will give the car enough energy to not only finish but also do it faster than it would if it were shorter, the car mass being 60 will also ad more velosity and make the ride more exciting."
510,The reason for this is because it's gaining more energy when going up the hill so the KE will turn into PE.
106,"When the car is going down, it's gaining KE and speed but losing PE."
508,"Once the cars start to move down the initial drop, the PE will get lower and will turn into KE which will get higher."
222,"E1R: Dear Gonzales family,"
548,"Secondly, at the start of the track, the PE is bigger and then when the coaster is going, the KE gets larger."
369,"This has been proven from my 3nd and 4th tests in Mass & Energy data, the mass in the third was 60 kg and had a total energy of 2934."
804,My hill height will be 3 meters.
274,"A roller coaster with a high initial drop height, a hill that is lower than that height and a decently great mass, it is sure to be the most fun roller coaster."
467,E1R: One recommendation I have for the roller coaster is to have the initial drop at 5 meters.
724,E1R: My recomendation is to start with a 5m so we have the greatest amount of PE at the top and the greatest KE at the bottom.
302,I'm mailing you my essay about how my roller coaster would be the most popular attraction and how it would run flawlessly without any problems with it's design.
77,I recommend a hill slightly lower than the initial drop so the riders can experience two high drops.
822,"This way, the cart will still be able to make it over the hill, and it will also be a fun roller coaster."
344,The PE at the top of the drop affects the amount of KE and TE you will have.
702,My roller coaster is going to start with a high drop so energy can be passed through and make the ride fast and fun.
584,"But then in trial 1 when the hill height was 3 meters and the initial drop was 4 meters, the car did make it over the hill because the hill height was less than the initial drop height."
838,If they hills PE is smaller that the hills KE the cart will make it up the hill.
3,When I increased the drop height to 3 meters the potential energy increased 489 joules.
683,E1: I would recommend that the Gonzales family try our coaster because it is fun and exhilarating.
490,This can show us that the rollercoaster cars should have a bigger mass for the rollercoaster to be faster.
401,We think that the smiler would be a great addition to your park.
288,When I tried a 5 meter hill height the car didn't make it to the end because there wasn't enough energy.
112,Examples of this are shown in my data.
789,"For example, when I tested a drop height of 4 meters in the simulation, the car had 1876 Joules of potential energy at the top, which means it also had 1876 Joules of kinetic energy at the bottom."
421,"See, for a roller coaster to be exiting and reach the end, it will first need an initial drop hight, the best hight found, was 4.00 meters."
84,"When I did a car mass of 60kg, the car had a total energy of 2936J of energy and went much faster."
188,"When the car mass was 60 kg the PE and KE were both 2,932 J."
42,I also think they should use a higher number for the car mass like 60.
842,E1R: The drop of my roller coaster is 5m.
583,"Because you can add up the PE and KE at any time in the trial to get the total amount of energy, this shows that energy is never created nor destroyed during the ride."
62,"If you want less KE at the bottom and less PE at the top, choose a lower initial drop."
265,A non-negotiable factor for the best possible roller coaster design would be a decently high drop height.
430,"This would not have worked if the hill was 4.52 meters because there would be 1960 J PE at the top of the hill, thien it will go back to the beginning of the ride, because it is too tall of a hill."
684,The reason our coaster will be awesome is the initial drop is pretty high at the height of 3.75 meters.
575,"And then at the end of the ride, the KE is bigger and the PE is at 0 or 1 joules so then the total energy is bigger."
476,I will start to talk about the Initial drop and hill heights.
208,We also realized how the total energy is always the PE and KE added up and will never be more or less than the PE and KE combined.
736,"This is because they are producing tons of potential energy when they are about to go down a 4-meter hill, 1919 J to be exact."
190,This information helped us decide that we want the initial drop height to be higher than the hill height and we want the mass of the car to be 60 kg because that's what produced the most energy.
90,"If you want less KE at the bottom and less PE at the top, choose a lower initial drop."
471,"If the hill height is the same as or greater than the initial drop height, the car won't have enough energy to continue the ride."
67,A higher initial drop allows the cart to build up more speed and allows you to have higher hills.
465,"When I increased the mass to 50 kilograms, the total energy increased to 2934 Joules."
701,E1: The Gonzales family should choose my roller coaster design because it's not only exciting but it will also be safe.
56,In all of our experiments the both mass & height had a direct relationship with energy.
748,"In our frictionless simulation, the potential energy always equals total energy, and since the 5-meter drop produces 2707 J of potential energy it will produce 2707 J of total energy."
296,The coaster will continue going if PE and KE never transfer into different types of energy.
10,The greater the height the more potential energy.
811,E1R: The drop height of my roller coaster will be 4 meters.
743,I know this because when we proved it in a simulation.
243,The date I collected proves this because in a trial where the initial drop height it 2m the total energy is 1067J.
688,I know this is true because in my trials.
790,"If we compare this to a drop height of 2, which had 938 Joules of potential energy at the top and kinetic energy at the bottom, we can see that the drop height of 4 meters had much more energy."
672,The height of your hills can also affect the roller coaster.
245,"If a hill on the coaster is too tall, the car will not make it over."
759,"Also I had done all of my testing with 0 friction, so I know that most of this info would not actually work with friction but with no friction this info is correct."
117,"E1: Dear Gonzales family,
I hope this letter finds you well."
231,"Best wishes, your roller coaster designer."
367,The mass of the roller coaster (in kg) effects the amount of total energy.
381,The more PE there is the more KE there will be.
785,"Also when my KE at the bottom was 1995J, the total energy was also 1995J, proving total energy stays the same"
840,"IN my data the mass was 40kg and the PE at the top of the drop was 1952, but when the mass was 60kg the PE was 2929."
219,"Is that the cart will go faster down the hill, resulting in a higher speed and more excitement for the riders."
58,It started as 2934 all the way down to 1956J.
171,"So if the hills were the same height it wouldn't have enough total energy to get to the top of the second hill, which is why the initial hill should always be higher than the additional hill."
294,This means it is still present but it is useless for our roller coaster.
79,The mass of the car effects the amount of energy and the speed.
386,"The amount of PE at the top of the initial drop will be the same amount of KE at the bottom, during this process the amount of TE stays the same."
394,My third test has a height of 2 meters and has a PE of 981.
371,This shows that the more mass the more total energy.
519,When I tested the 4m height the cart at the top had 1569 joules of PE and 389 joules of KE.
389,"The law of conservation of energy says that “the amount of energy is neither created nor destroyed."""
758,One thing that I recommend is having a 47-53 kg car so it will have enough weight but not too much.
36,The greater the mass the greater the energy.
372,"With these amazing features and that it will go fast, this is the best roller coaster."
250,"At the top of the Initial drop there is 0 KE, the car's not in motion."
561,"This is because the Law of Conservation of Energy says that energy can not be created, and the only way the car could make it over the hill would be for it to create more energy to move it over the hill."
797,"At the bottom of the hill, the car will have no height, and therefore it will have no potential energy, just kinetic energy."
300,If there is no friction the energy won't change into a different type.
159,This is shown in my data on the subject Add a hill on my first trial.
829,E1: The drop of my roller coaster is 5m.
113,"When I did a car mass of 40kg, the car had a total energy of 1957J of energy and went a decent speed."
644,That changed when we added more or less mass to the car.
676,"The more mass your car has the more total energy, this was proven by yet another student at DAMS."
107,I recommend a hill slightly lower than the initial drop so the riders can experience two high drops.
686,You then go up a hill with a height of 2 meters.
95,A higher initial drop allows the cart to build up more speed and allows you to have higher hills.
525,When I decreased the weight of the cart to 50kg the PE was only 2448 joules while the PE for 60kg was 2937 joules.
498,"E1R: Dear Gonzales family,"
704,"It won't be too low because if it is, there won't be enough energy for it to go over any of the hills."
26,"At any point of the track, adding PE and KE will give you the total energy."
311,"First it has a fast initial drop ,at 5m, down into a tunnel then in slowly climes a hill, gaining 2937 PE to make it over a 2.5m hill."
768,It translated into KE because there is KE when there is motion.
479,"When the rollercoaster started at the top of the initial drop, it had 2449J of Potential Energy and 0J of Kinetic Energy."
85,I also observed that the car with a higher mass lost speed faster when going up.
745,But if you have a 4-meter drop it produces 2164 J.
451,The PE is only 1 Joule because it is barely off the ground at that point.
41,E1: I think the should use the highest intial drop of 5 meters and 4 meters for the hill height.
354,The initial drop will be at 50 meters because it will get a lot PE that will turn into KE for really fast speeds.
212,The roller coaster will not have enough potential energy to make It over the hill if it is higher than the initial drop height.
289,When the height was 3.5 meters the car made it to the end.
439,"This would not have worked if the hill was 4.52 meters because there would be 1960 J PE at the top of the hill, then it will go back to the beginning of the ride, because it is too tall of a hill."
705,"On the topic of hills, my hill will be about 3.52 m high."
673,Another study done by someone at DAMS showed that the hill has to be less than the initial drop height.
442,"If the cart had less mass, it would not have as much energy, for example, a cart with a mass of 43 kg had 1701 J total energy."
577,"But when the car was at the bottom of the initial drop, the PE changed to 1 joule and the KE changed to 2409 joules."
