idx,reduced_embeddings
834,"[2.770261287689209, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.507674217224121, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5175154209136963, 4.972239971160889, 3.509708881378174, 1.9995193481445312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.254227161407471, 0.0, 0.0, 0.0, 3.451181411743164, 1.2244619131088257, 1.7873475551605225, 0.0, 0.0, 1.5443053245544434, 2.535700798034668, 0.0, 0.0, 2.0838916301727295, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3689286708831787, 0.0, 0.0, 0.014941126108169556, 3.8488223552703857, 0.0, 0.0, 0.0, 1.224198341369629, 5.930578231811523, 0.0, 0.0, 2.7678616046905518, 3.32893443107605, 0.0]"
303,"[3.1015748977661133, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.414487361907959, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2701659202575684, 4.89765739440918, 3.4856715202331543, 1.8646759986877441, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.163429260253906, 0.0, 0.0, 0.0, 3.3568453788757324, 1.0880897045135498, 1.8038110733032227, 0.0, 0.0, 1.5319724082946777, 2.5641918182373047, 0.0, 0.0, 2.2847061157226562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3051705360412598, 0.0, 0.0, 0.0, 3.654818058013916, 0.0, 0.0, 0.0, 1.1792635917663574, 5.825298309326172, 0.0, 0.0, 2.7494680881500244, 3.249772548675537, 0.0]"
782,"[2.3809609413146973, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2460994720458984, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.147709846496582, 4.402397155761719, 3.1063833236694336, 1.6474881172180176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.32776403427124, 0.0, 0.0, 0.0, 2.9936511516571045, 1.1010105609893799, 1.6300666332244873, 0.0, 0.0, 1.4017376899719238, 2.272836446762085, 0.0, 0.0, 1.7003729343414307, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0967774391174316, 0.0, 0.0, 0.0, 3.324796199798584, 0.0, 0.0, 0.0, 1.075988531112671, 5.096330642700195, 0.0, 0.0, 2.3817131519317627, 2.8761534690856934, 0.0]"
589,"[2.975529432296753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.487823963165283, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.293633222579956, 4.853146076202393, 3.5256357192993164, 1.8992526531219482, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.049041748046875, 0.0, 0.0, 0.0, 3.3144657611846924, 1.1266326904296875, 1.82881760597229, 0.0, 0.0, 1.5535392761230469, 2.5391123294830322, 0.0, 0.0, 2.1234073638916016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.397274971008301, 0.0, 0.0, 0.0, 3.679964303970337, 0.0, 0.0, 0.0, 1.2173576354980469, 5.72858190536499, 0.0, 0.0, 2.722097396850586, 3.2589359283447266, 0.0]"
122,"[3.125974178314209, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4953055381774902, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.363752603530884, 4.963957786560059, 3.5517592430114746, 2.0140795707702637, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.360775470733643, 0.0, 0.0, 0.0, 3.4601640701293945, 1.0984158515930176, 1.8410903215408325, 0.0, 0.0, 1.569387435913086, 2.6358113288879395, 0.0, 0.0, 2.3120760917663574, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3704285621643066, 0.0, 0.0, 0.0, 3.7603535652160645, 0.0, 0.0, 0.0, 1.2224770784378052, 5.9475202560424805, 0.0, 0.0, 2.8646116256713867, 3.440016269683838, 0.0]"
617,"[2.4686994552612305, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1643919944763184, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.202364206314087, 4.56330680847168, 3.0336880683898926, 1.7341123819351196, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.607429504394531, 0.0, 0.0, 0.0, 3.154386520385742, 1.1071096658706665, 1.535217046737671, 0.0, 0.0, 1.398913025856018, 2.465447425842285, 0.0, 0.0, 1.9703296422958374, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.075178623199463, 0.0, 0.0, 0.0, 3.3608222007751465, 0.0, 0.0, 0.0, 1.0896191596984863, 5.2527570724487305, 0.0, 0.0, 2.344526529312134, 2.911614418029785, 0.0]"
258,"[2.7591817378997803, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.319222927093506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2587227821350098, 4.625436305999756, 3.1628189086914062, 1.8204975128173828, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.824045181274414, 0.0, 0.0, 0.0, 3.2532975673675537, 1.1038153171539307, 1.6534204483032227, 0.0, 0.0, 1.4477276802062988, 2.4574360847473145, 0.0, 0.0, 2.08160400390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0874128341674805, 0.0, 0.0, 0.0, 3.49533748626709, 0.0, 0.0, 0.0, 1.103777527809143, 5.430449485778809, 0.0, 0.0, 2.577968120574951, 3.0602011680603027, 0.0]"
194,"[2.6696269512176514, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3922312259674072, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3830859661102295, 4.858983516693115, 3.4553685188293457, 1.852555513381958, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.984076023101807, 0.0, 0.0, 0.0, 3.3055450916290283, 1.1864724159240723, 1.7930749654769897, 0.0, 0.0, 1.4903234243392944, 2.5018210411071777, 0.0, 0.0, 2.014549970626831, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.278317451477051, 0.0, 0.0, 0.0, 3.775507688522339, 0.0, 0.0, 0.0, 1.205552101135254, 5.74931526184082, 0.0, 0.0, 2.7868857383728027, 3.213822364807129, 0.0]"
321,"[2.6387734413146973, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.337844133377075, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4190568923950195, 4.846140384674072, 3.1279544830322266, 1.941831111907959, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.926573753356934, 0.0, 0.0, 0.0, 3.361515760421753, 1.1577560901641846, 1.530771017074585, 0.0, 0.0, 1.415353775024414, 2.6182570457458496, 0.0, 0.0, 2.009542226791382, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2793385982513428, 0.0, 0.0, 0.0, 3.535764217376709, 0.0, 0.0, 0.0, 1.229180932044983, 5.379400730133057, 0.0, 0.0, 2.4815635681152344, 3.0948944091796875, 0.0]"
384,"[2.951617479324341, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5251622200012207, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4609341621398926, 4.961727142333984, 3.4957480430603027, 1.9680249691009521, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.290631294250488, 0.0, 0.0, 0.0, 3.4563968181610107, 1.214412808418274, 1.8099302053451538, 0.0, 0.0, 1.5440385341644287, 2.662323474884033, 0.0, 0.0, 2.1681747436523438, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4075863361358643, 0.0, 0.0, 0.0, 3.769648551940918, 0.0, 0.0, 0.0, 1.3042675256729126, 5.864976406097412, 0.0, 0.0, 2.8124780654907227, 3.353358745574951, 0.0]"
