idx,reduced_embeddings
762,"[2.674478530883789, 1.2676678895950317, 0.0, 4.133569240570068, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5212035179138184, 1.9185023307800293, 0.0, 0.0, 0.0, 0.0, 0.0, 4.429385185241699, 0.0, 0.0, 2.5311646461486816, 0.0, 2.5255565643310547, 0.0, 2.7874574661254883, 2.2625792026519775, 1.5797138214111328, 0.0, 0.0, 2.3588151931762695, 2.5830674171447754, 3.1055431365966797, 1.1020162105560303, 3.765796661376953, 1.4811272621154785, 2.8244547843933105, 5.051523685455322, 0.0, 0.5065850019454956, 1.5534746646881104, 0.0, 1.097168207168579, 0.0, 1.833406686782837, 0.0, 0.0, 0.0, 0.0, 0.0, 3.189389228820801, 2.3951194286346436, 0.0, 0.0, 0.0, 2.2787675857543945, 0.0, 0.8539481163024902, 0.0, 1.8525681495666504, 3.116976737976074, 3.32674503326416, 0.0]"
410,"[2.69614315032959, 1.3263894319534302, 0.0, 4.219108581542969, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.520714521408081, 1.9906929731369019, 0.0, 0.0, 0.0, 0.0, 0.0, 4.37060022354126, 0.0, 0.0, 2.4890167713165283, 0.0, 2.4274017810821533, 0.0, 2.8120923042297363, 2.2733724117279053, 1.5283353328704834, 0.0, 0.0, 2.412806510925293, 2.5892996788024902, 3.1791586875915527, 1.207167625427246, 3.7397351264953613, 1.5234787464141846, 2.727332353591919, 5.096752643585205, 0.0, 0.48515594005584717, 1.5989067554473877, 0.0, 1.1294169425964355, 0.0, 1.9500961303710938, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1358399391174316, 2.3994076251983643, 0.0, 0.0, 0.0, 2.153475046157837, 0.0, 0.7062206864356995, 0.0, 1.7258186340332031, 3.1977310180664062, 3.3270158767700195, 0.0]"
387,"[2.7727692127227783, 1.2649098634719849, 0.0, 4.304493427276611, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.23789119720459, 2.186857223510742, 0.0, 0.0, 0.0, 0.0, 0.0, 4.346230506896973, 0.0, 0.0, 2.78779935836792, 0.0, 2.3304874897003174, 0.0, 2.7187867164611816, 2.353496551513672, 1.4325244426727295, 0.0, 0.0, 2.4916067123413086, 2.660330295562744, 3.3379769325256348, 1.0180144309997559, 3.7073473930358887, 1.8775222301483154, 3.072570562362671, 5.3171491622924805, 0.0, 0.6195341944694519, 1.3399391174316406, 0.0, 1.2758758068084717, 0.0, 1.763757348060608, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0241854190826416, 2.370299816131592, 0.0, 0.0, 0.0, 1.9638539552688599, 0.0, 0.44121700525283813, 0.0, 1.6160342693328857, 3.122065305709839, 3.442798614501953, 0.0]"
87,"[2.645699977874756, 1.2586950063705444, 0.0, 4.049006462097168, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6077451705932617, 1.7608163356781006, 0.0, 0.0, 0.0, 0.0, 0.0, 4.3202996253967285, 0.0, 0.0, 2.3514137268066406, 0.0, 2.4843873977661133, 0.0, 2.79464054107666, 2.1487767696380615, 1.5359749794006348, 0.0, 0.0, 2.3335318565368652, 2.5328919887542725, 3.003305435180664, 1.2865337133407593, 3.784693956375122, 1.3967176675796509, 2.583078384399414, 4.9366302490234375, 0.0, 0.4757201373577118, 1.6079726219177246, 0.0, 1.0170199871063232, 0.0, 1.8585894107818604, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1191186904907227, 2.3560705184936523, 0.0, 0.0, 0.0, 2.2048983573913574, 0.0, 0.7887144088745117, 0.0, 1.8241631984710693, 3.2015221118927, 3.171062469482422, 0.0]"
461,"[2.595057964324951, 1.19243323802948, 0.0, 3.940981864929199, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.333594560623169, 1.8376281261444092, 0.0, 0.0, 0.0, 0.0, 0.0, 4.125782012939453, 0.0, 0.0, 2.3288750648498535, 0.0, 2.3562984466552734, 0.0, 2.5637824535369873, 2.1799373626708984, 1.4047510623931885, 0.0, 0.0, 2.2204246520996094, 2.512059211730957, 2.927381753921509, 1.165007472038269, 3.517199993133545, 1.4445544481277466, 2.6500160694122314, 4.784938335418701, 0.0, 0.4640584886074066, 1.4641444683074951, 0.0, 1.0979106426239014, 0.0, 1.67416250705719, 0.0, 0.0, 0.0, 0.0, 0.0, 2.9924678802490234, 2.199659585952759, 0.0, 0.0, 0.0, 2.022301197052002, 0.0, 0.6397598385810852, 0.0, 1.602346658706665, 3.0224575996398926, 3.1340889930725098, 0.0]"
108,"[2.693880081176758, 1.259347677230835, 0.0, 4.148843765258789, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5196502208709717, 1.8955047130584717, 0.0, 0.0, 0.0, 0.0, 0.0, 4.315133571624756, 0.0, 0.0, 2.4923219680786133, 0.0, 2.353407621383667, 0.0, 2.8204784393310547, 2.244758129119873, 1.4936033487319946, 0.0, 0.0, 2.3517773151397705, 2.5304625034332275, 3.147183418273926, 1.2528111934661865, 3.6588268280029297, 1.5043034553527832, 2.666503429412842, 5.018683910369873, 0.0, 0.4975026547908783, 1.5135796070098877, 0.0, 1.1108829975128174, 0.0, 1.9174708127975464, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0355677604675293, 2.291787624359131, 0.0, 0.0, 0.0, 2.092663049697876, 0.0, 0.6880306005477905, 0.0, 1.7163236141204834, 3.1675944328308105, 3.2773513793945312, 0.0]"
828,"[2.7682533264160156, 1.297547459602356, 0.0, 4.289348602294922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.284367799758911, 2.129542350769043, 0.0, 0.0, 0.0, 0.0, 0.0, 4.293857097625732, 0.0, 0.0, 2.763993263244629, 0.0, 2.3222556114196777, 0.0, 2.721975326538086, 2.3680522441864014, 1.4482028484344482, 0.0, 0.0, 2.3670966625213623, 2.5614113807678223, 3.297511100769043, 1.0170249938964844, 3.6161229610443115, 1.7861900329589844, 2.9418108463287354, 5.205389976501465, 0.0, 0.5554489493370056, 1.377974033355713, 0.0, 1.2843313217163086, 0.0, 1.7587767839431763, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0438294410705566, 2.3858227729797363, 0.0, 0.0, 0.0, 1.9344499111175537, 0.0, 0.48294883966445923, 0.0, 1.6373844146728516, 3.07999587059021, 3.448136806488037, 0.0]"
497,"[2.751394748687744, 1.2774863243103027, 0.0, 4.2024383544921875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7406344413757324, 1.8423975706100464, 0.0, 0.0, 0.0, 0.0, 0.0, 4.415536403656006, 0.0, 0.0, 2.417971134185791, 0.0, 2.5128273963928223, 0.0, 2.955775022506714, 2.2418715953826904, 1.6032087802886963, 0.0, 0.0, 2.4347500801086426, 2.592930316925049, 3.084257125854492, 1.3823018074035645, 3.9830002784729004, 1.423406958580017, 2.602114677429199, 5.066479206085205, 0.0, 0.5038354992866516, 1.7297170162200928, 0.0, 1.061503291130066, 0.0, 1.9923036098480225, 0.0, 0.0, 0.0, 0.0, 0.0, 3.2293429374694824, 2.405184268951416, 0.0, 0.0, 0.0, 2.2799341678619385, 0.0, 0.8662676215171814, 0.0, 1.8738305568695068, 3.3489937782287598, 3.324449062347412, 0.0]"
98,"[2.7407631874084473, 1.3314908742904663, 0.0, 4.318347930908203, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.457015037536621, 2.0992870330810547, 0.0, 0.0, 0.0, 0.0, 0.0, 4.431262493133545, 0.0, 0.0, 2.729435443878174, 0.0, 2.4392733573913574, 0.0, 2.8042352199554443, 2.3422975540161133, 1.5667555332183838, 0.0, 0.0, 2.404923915863037, 2.618131637573242, 3.2762346267700195, 1.0635700225830078, 3.7251768112182617, 1.6277413368225098, 2.8744285106658936, 5.228928089141846, 0.0, 0.5362806916236877, 1.54356849193573, 0.0, 1.243420124053955, 0.0, 1.869744062423706, 0.0, 0.0, 0.0, 0.0, 0.0, 3.19183349609375, 2.475682020187378, 0.0, 0.0, 0.0, 2.123659372329712, 0.0, 0.6889681220054626, 0.0, 1.6833733320236206, 3.1504883766174316, 3.4644217491149902, 0.0]"
303,"[2.5246071815490723, 1.2345939874649048, 0.0, 3.9846386909484863, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.291895866394043, 1.9064908027648926, 0.0, 0.0, 0.0, 0.0, 0.0, 4.121059894561768, 0.0, 0.0, 2.4880383014678955, 0.0, 2.3274807929992676, 0.0, 2.598529815673828, 2.197340726852417, 1.5007429122924805, 0.0, 0.0, 2.212501049041748, 2.4342002868652344, 3.028827667236328, 0.9999369382858276, 3.479334592819214, 1.4567137956619263, 2.681807041168213, 4.786022186279297, 0.0, 0.44659915566444397, 1.4485316276550293, 0.0, 1.157984733581543, 0.0, 1.678253173828125, 0.0, 0.0, 0.0, 0.0, 0.0, 3.045325756072998, 2.3607680797576904, 0.0, 0.0, 0.0, 2.0234785079956055, 0.0, 0.695510745048523, 0.0, 1.660884141921997, 2.9622344970703125, 3.222830057144165, 0.0]"
