idx,reduced_embeddings
132,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.5774662494659424, 1.9156405925750732, 0.0, 0.8183954954147339, 3.396527051925659, 0.0, 2.8748133182525635, 0.0, 0.0, 3.638047933578491, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0062177181243896, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7021524310112, 0.0, 0.0, 0.0, 0.0, 1.1367723941802979, 3.1380157470703125, 0.511969804763794, 0.0, 0.0, 0.0, 0.0, 0.9517358541488647, 0.0, 0.0, 1.1180757284164429, 1.1653743982315063, 2.6702709197998047, 0.0, 0.0, 5.0840911865234375, 0.0, 0.0, 1.3720444440841675, 2.4933769702911377, 0.0, 0.0, 0.0, 4.374656677246094, 0.0, 3.0627431869506836, 3.137277126312256, 8.09969711303711, 0.14551019668579102, 0.0, 0.0, 0.0]"
336,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.4680612087249756, 1.9092999696731567, 0.0, 0.7415957450866699, 3.4550485610961914, 0.0, 2.907195806503296, 0.0, 0.0, 3.5844194889068604, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8882910013198853, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7777951955795288, 0.0, 0.0, 0.0, 0.0, 1.0134923458099365, 3.1093528270721436, 0.46678343415260315, 0.0, 0.0, 0.0, 0.0, 0.8985352516174316, 0.0, 0.0, 1.1056629419326782, 1.213003396987915, 2.73616886138916, 0.0, 0.0, 5.169189453125, 0.0, 0.0, 1.3584306240081787, 2.443509817123413, 0.0, 0.0, 0.0, 4.493351459503174, 0.0, 2.9350013732910156, 3.148421287536621, 8.105146408081055, 0.24032369256019592, 0.0, 0.0, 0.0]"
238,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.6162171363830566, 2.0407028198242188, 0.0, 0.7390064597129822, 3.6457369327545166, 0.0, 3.0605034828186035, 0.0, 0.0, 3.6653494834899902, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8139811754226685, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8216899633407593, 0.0, 0.0, 0.0, 0.0, 1.0438512563705444, 3.1814141273498535, 0.5318803787231445, 0.0, 0.0, 0.0, 0.0, 0.9539951682090759, 0.0, 0.0, 0.9542719125747681, 1.2516193389892578, 2.7073476314544678, 0.0, 0.0, 5.4946088790893555, 0.0, 0.0, 1.3785617351531982, 2.5822501182556152, 0.0, 0.0, 0.0, 4.547318458557129, 0.0, 2.999016523361206, 3.302309513092041, 8.406547546386719, 0.2203446924686432, 0.0, 0.0, 0.0]"
541,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.6588892936706543, 1.948340654373169, 0.0, 0.8254731893539429, 3.582815170288086, 0.0, 2.96474552154541, 0.0, 0.0, 3.723259925842285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9846965074539185, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8544220328330994, 0.0, 0.0, 0.0, 0.0, 1.1124069690704346, 3.2297544479370117, 0.4289672374725342, 0.0, 0.0, 0.0, 0.0, 0.9773015975952148, 0.0, 0.0, 1.0189051628112793, 1.2724515199661255, 2.7813491821289062, 0.0, 0.0, 5.352594375610352, 0.0, 0.0, 1.391613483428955, 2.4507534503936768, 0.0, 0.0, 0.0, 4.58709716796875, 0.0, 2.992321014404297, 3.315075159072876, 8.371374130249023, 0.18660813570022583, 0.0, 0.0, 0.0]"
562,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.6476056575775146, 1.9405226707458496, 0.0, 0.8243556022644043, 3.3661088943481445, 0.0, 2.906290054321289, 0.0, 0.0, 3.6776976585388184, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9952541589736938, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6900148987770081, 0.0, 0.0, 0.0, 0.0, 1.2314411401748657, 3.145279884338379, 0.5383836627006531, 0.0, 0.0, 0.0, 0.0, 1.0602164268493652, 0.0, 0.0, 1.152705430984497, 1.14847731590271, 2.6390037536621094, 0.0, 0.0, 5.2086501121521, 0.0, 0.0, 1.461976170539856, 2.4466052055358887, 0.0, 0.0, 0.0, 4.517397880554199, 0.0, 3.185986042022705, 3.171009063720703, 8.293394088745117, 0.0, 0.0, 0.0, 0.0]"
572,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.541318893432617, 2.1242752075195312, 0.0, 0.6875522136688232, 3.504838466644287, 0.0, 2.9368553161621094, 0.0, 0.0, 3.607217311859131, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6774159073829651, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8606249094009399, 0.0, 0.0, 0.0, 0.0, 1.0116065740585327, 2.972492218017578, 0.5694285035133362, 0.0, 0.0, 0.0, 0.0, 1.039763331413269, 0.0, 0.0, 0.9400903582572937, 1.2925363779067993, 2.574559450149536, 0.0, 0.0, 5.466214179992676, 0.0, 0.0, 1.5358142852783203, 2.577730894088745, 0.0, 0.0, 0.0, 4.617053985595703, 0.0, 2.9412899017333984, 3.2209765911102295, 8.312528610229492, 0.06890004873275757, 0.0, 0.0, 0.0]"
355,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.761082172393799, 1.9489291906356812, 0.0, 0.9272582530975342, 3.610496759414673, 0.0, 3.1065173149108887, 0.0, 0.0, 3.8644185066223145, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1274768114089966, 0.0, 0.0, 0.0, 0.0, 0.0, 0.741450309753418, 0.0, 0.0, 0.0, 0.0, 1.252861499786377, 3.497833728790283, 0.5483121275901794, 0.0, 0.0, 0.0, 0.0, 0.9834339618682861, 0.0, 0.0, 1.2296547889709473, 1.2404166460037231, 2.7901265621185303, 0.0, 0.0, 5.503769874572754, 0.0, 0.0, 1.4314351081848145, 2.5061395168304443, 0.0, 0.0, 0.0, 4.778143882751465, 0.0, 3.347137451171875, 3.3380286693573, 8.756902694702148, 0.031184226274490356, 0.0, 0.0, 0.0]"
187,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.6717777252197266, 1.9319322109222412, 0.0, 0.9822850227355957, 3.547980546951294, 0.0, 3.037602424621582, 0.0, 0.0, 3.802332878112793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0993554592132568, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6927322745323181, 0.0, 0.0, 0.0, 0.0, 1.3220789432525635, 3.4278175830841064, 0.6129450798034668, 0.0, 0.0, 0.0, 0.0, 1.1089770793914795, 0.0, 0.0, 1.3019264936447144, 1.1769018173217773, 2.7477476596832275, 0.0, 0.0, 5.397254943847656, 0.0, 0.0, 1.4675604104995728, 2.466270923614502, 0.0, 0.0, 0.0, 4.836277961730957, 0.0, 3.3880391120910645, 3.2623817920684814, 8.702047348022461, 0.0, 0.0, 0.0, 0.0]"
124,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.644042491912842, 1.8953067064285278, 0.0, 0.9121633768081665, 3.496699571609497, 0.0, 2.9823524951934814, 0.0, 0.0, 3.6747584342956543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1147408485412598, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7201083898544312, 0.0, 0.0, 0.0, 0.0, 1.2166242599487305, 3.3213396072387695, 0.5602962970733643, 0.0, 0.0, 0.0, 0.0, 1.002550482749939, 0.0, 0.0, 1.2070212364196777, 1.1518193483352661, 2.6650335788726807, 0.0, 0.0, 5.22692346572876, 0.0, 0.0, 1.4357762336730957, 2.4108688831329346, 0.0, 0.0, 0.0, 4.5593061447143555, 0.0, 3.2082419395446777, 3.1348159313201904, 8.423914909362793, 0.02227795124053955, 0.0, 0.0, 0.0]"
328,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.5795042514801025, 1.952305555343628, 0.0, 0.8471173048019409, 3.500643253326416, 0.0, 2.954172134399414, 0.0, 0.0, 3.676057815551758, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0129187107086182, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7549211978912354, 0.0, 0.0, 0.0, 0.0, 1.1267633438110352, 3.2114956378936768, 0.5268502235412598, 0.0, 0.0, 0.0, 0.0, 0.9180905222892761, 0.0, 0.0, 1.0797959566116333, 1.1590514183044434, 2.672572612762451, 0.0, 0.0, 5.216744422912598, 0.0, 0.0, 1.3718594312667847, 2.5393640995025635, 0.0, 0.0, 0.0, 4.411530494689941, 0.0, 3.0561037063598633, 3.170307159423828, 8.217453002929688, 0.20074060559272766, 0.0, 0.0, 0.0]"
