idx,reduced_embeddings
825,"[1.405905842781067, 1.7859022617340088, 0.0, 0.0, 0.0, 0.0, 0.0, 3.9668378829956055, 0.5147721767425537, 0.0, 0.0, 4.239710807800293, 0.6406387090682983, 1.5623557567596436, 0.0, 3.004080295562744, 0.0, 0.0, 0.0, 4.953856468200684, 0.0, 0.0, 4.108069896697998, 3.3708207607269287, 0.0, 0.06982998549938202, 0.0, 0.0, 0.0, 2.255995750427246, 4.365912437438965, 2.3394663333892822, 0.0, 0.0, 1.6324331760406494, 0.0, 0.0, 0.0, 0.0, 0.7010050415992737, 2.587942600250244, 0.0, 0.0, 1.663352370262146, 0.0, 0.0, 2.9735865592956543, 0.0, 3.293529510498047, 0.0, 1.0044337511062622, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7800384759902954, 2.15958309173584, 0.0, 0.0, 0.0, 0.0, 0.0]"
309,"[1.4627573490142822, 1.8757843971252441, 0.0, 0.0, 0.0, 0.0, 0.0, 3.9602506160736084, 0.6208242774009705, 0.0, 0.0, 4.194689750671387, 0.5237507224082947, 1.4360605478286743, 0.0, 2.917492389678955, 0.0, 0.0, 0.0, 4.826436996459961, 0.0, 0.0, 4.131475448608398, 3.3557286262512207, 0.0, 0.0, 0.0, 0.0, 0.0, 2.209033966064453, 4.398770332336426, 2.4777164459228516, 0.0, 0.0, 1.4486827850341797, 0.0, 0.0, 0.0, 0.0, 0.6165731549263, 2.5435991287231445, 0.0, 0.0, 1.5940419435501099, 0.0, 0.0, 3.014967441558838, 0.0, 3.134155511856079, 0.0, 1.0510965585708618, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7798993587493896, 2.1421799659729004, 0.0, 0.0, 0.0, 0.0, 0.0]"
565,"[1.4136899709701538, 1.9436628818511963, 0.0, 0.0, 0.0, 0.0, 0.0, 3.732020854949951, 0.576898455619812, 0.0, 0.0, 4.085391044616699, 0.5339465737342834, 1.378503680229187, 0.0, 2.859456777572632, 0.0, 0.0, 0.0, 4.869488716125488, 0.0, 0.0, 4.037481307983398, 3.4540929794311523, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2345120906829834, 4.316725730895996, 2.451951265335083, 0.0, 0.0, 1.427621841430664, 0.0, 0.0, 0.0, 0.0, 0.5519262552261353, 2.669358253479004, 0.0, 0.0, 1.5616724491119385, 0.0, 0.0, 2.929764747619629, 0.0, 3.117671012878418, 0.0, 1.16053307056427, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7737417817115784, 2.127182960510254, 0.0, 0.0, 0.0, 0.0, 0.0]"
567,"[1.354566216468811, 1.7128684520721436, 0.0, 0.0, 0.0, 0.0, 0.0, 3.7322347164154053, 0.41789835691452026, 0.0, 0.0, 3.8677573204040527, 0.6968454122543335, 1.6388431787490845, 0.0, 2.833682060241699, 0.0, 0.0, 0.0, 4.953423023223877, 0.0, 0.0, 3.9291939735412598, 3.3643484115600586, 0.0, 0.09516900032758713, 0.0, 0.0, 0.0, 2.3501296043395996, 4.217850685119629, 1.8628621101379395, 0.0, 0.0, 1.676313877105713, 0.0, 0.0, 0.0, 0.0, 0.7357413172721863, 2.7721619606018066, 0.0, 0.0, 1.6916829347610474, 0.0, 0.0, 2.8927578926086426, 0.0, 3.2378029823303223, 0.0, 1.1714104413986206, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8112244606018066, 1.8779895305633545, 0.0, 0.0, 0.0, 0.0, 0.0]"
101,"[1.4119070768356323, 1.7595484256744385, 0.0, 0.0, 0.0, 0.0, 0.0, 3.694253921508789, 0.49655741453170776, 0.0, 0.0, 3.971430778503418, 0.6328840255737305, 1.4414219856262207, 0.0, 2.823122024536133, 0.0, 0.0, 0.0, 4.7395548820495605, 0.0, 0.0, 3.878197193145752, 3.295274257659912, 0.0, 0.009875047951936722, 0.0, 0.0, 0.0, 2.1845691204071045, 4.190314292907715, 2.249234437942505, 0.0, 0.0, 1.5700578689575195, 0.0, 0.0, 0.0, 0.0, 0.6613421440124512, 2.5440773963928223, 0.0, 0.0, 1.5307244062423706, 0.0, 0.0, 2.8875198364257812, 0.0, 3.132215976715088, 0.0, 1.0391701459884644, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7442142963409424, 2.0261788368225098, 0.0, 0.0, 0.0, 0.0, 0.0]"
578,"[1.359175682067871, 1.7308664321899414, 0.0, 0.0, 0.0, 0.0, 0.0, 3.7222163677215576, 0.46343445777893066, 0.0, 0.0, 3.946404457092285, 0.7064774632453918, 1.5954046249389648, 0.0, 2.912715435028076, 0.0, 0.0, 0.0, 4.935169219970703, 0.0, 0.0, 3.898101329803467, 3.265519857406616, 0.0, 0.13068658113479614, 0.0, 0.0, 0.0, 2.2550337314605713, 4.301808834075928, 2.0712547302246094, 0.0, 0.0, 1.7469334602355957, 0.0, 0.0, 0.0, 0.0, 0.7420053482055664, 2.5903480052948, 0.0, 0.0, 1.6269354820251465, 0.0, 0.0, 2.8651351928710938, 0.0, 3.296746015548706, 0.0, 1.0239884853363037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7279436588287354, 1.9348057508468628, 0.0, 0.0, 0.0, 0.0, 0.0]"
250,"[1.4827170372009277, 1.8603925704956055, 0.0, 0.0, 0.0, 0.0, 0.0, 4.17462158203125, 0.4693223237991333, 0.0, 0.0, 4.483926296234131, 0.6443443894386292, 1.712194800376892, 0.0, 3.171391487121582, 0.0, 0.0, 0.0, 5.239776611328125, 0.0, 0.0, 4.320984840393066, 3.3640003204345703, 0.0, 0.13861647248268127, 0.0, 0.0, 0.0, 2.3383514881134033, 4.5997419357299805, 2.365508556365967, 0.0, 0.0, 1.778258204460144, 0.0, 0.0, 0.0, 0.0, 0.7731876373291016, 2.700956106185913, 0.0, 0.0, 1.8552110195159912, 0.0, 0.0, 3.073335647583008, 0.0, 3.4818196296691895, 0.0, 1.109282374382019, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8440508842468262, 2.20672869682312, 0.0, 0.0, 0.0, 0.0, 0.0]"
179,"[1.3988566398620605, 1.8503823280334473, 0.0, 0.0, 0.0, 0.0, 0.0, 3.9145851135253906, 0.5175721049308777, 0.0, 0.0, 4.251711368560791, 0.5164394378662109, 1.4297587871551514, 0.0, 2.9703612327575684, 0.0, 0.0, 0.0, 4.863691329956055, 0.0, 0.0, 4.1339006423950195, 3.3741893768310547, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2357637882232666, 4.396470069885254, 2.4382104873657227, 0.0, 0.0, 1.5900776386260986, 0.0, 0.0, 0.0, 0.0, 0.5613937377929688, 2.664602279663086, 0.0, 0.0, 1.6127150058746338, 0.0, 0.0, 2.970229148864746, 0.0, 3.1334428787231445, 0.0, 1.0520131587982178, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7495748400688171, 2.1306047439575195, 0.0, 0.0, 0.0, 0.0, 0.0]"
324,"[1.3408962488174438, 1.7914948463439941, 0.0, 0.0, 0.0, 0.0, 0.0, 3.925696849822998, 0.5605893135070801, 0.0, 0.0, 4.163443565368652, 0.5397394299507141, 1.5590381622314453, 0.0, 2.944748878479004, 0.0, 0.0, 0.0, 4.728354454040527, 0.0, 0.0, 4.035194396972656, 3.1181983947753906, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1749937534332275, 4.33137321472168, 2.274629831314087, 0.0, 0.0, 1.6592237949371338, 0.0, 0.0, 0.0, 0.0, 0.640102744102478, 2.493565797805786, 0.0, 0.0, 1.6140910387039185, 0.0, 0.0, 2.93277907371521, 0.0, 3.1791274547576904, 0.0, 1.0589147806167603, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7855068445205688, 2.1016201972961426, 0.0, 0.0, 0.0, 0.0, 0.0]"
380,"[1.4461535215377808, 1.8907889127731323, 0.0, 0.0, 0.0, 0.0, 0.0, 3.928920269012451, 0.5560458898544312, 0.0, 0.0, 4.293447494506836, 0.54253089427948, 1.3836380243301392, 0.0, 3.011873722076416, 0.0, 0.0, 0.0, 4.923368453979492, 0.0, 0.0, 4.206681251525879, 3.504878044128418, 0.0, 0.0, 0.0, 0.0, 0.0, 2.273650646209717, 4.454912185668945, 2.543025255203247, 0.0, 0.0, 1.5226986408233643, 0.0, 0.0, 0.0, 0.0, 0.571370542049408, 2.6966443061828613, 0.0, 0.0, 1.6230329275131226, 0.0, 0.0, 3.0276708602905273, 0.0, 3.1511454582214355, 0.0, 1.1136927604675293, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7534164786338806, 2.168593406677246, 0.0, 0.0, 0.0, 0.0, 0.0]"
